"","countrycode","year","H","K","n","elasH","elasN","elasK","DamCoeff_T2","DamCoeff_T2_sd"
"181","SVK",2018,711342043549.048,422752521368.065,5491142020.2631,0.53833861225934,0.00251637117533051,0.45914501656533,0.0113811875737739,0.0058648649899631
"182","SVN",2018,412494919363.833,262414573102.286,2742959453.72354,0.53833861225934,0.00232106307309185,0.459340324667568,0.00263474276234036,0.0161027924698385
"183","SWE",2018,4434927019528.25,2903519477076.99,26977890146.9492,0.53833861225934,0.00255644296330782,0.459104944777352,0.0490974789405442,0.0493351955607851
"184","SWZ",2018,35078065672.7787,9699397086.93334,3405730086.21486,0.53833861225934,0.0292469605086715,0.432414427231989,0.00994862437471094,0.0117099087904801
"185","SXM",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"186","SYC",2018,NA,NA,NA,0.53833861225934,0.00124116569609426,0.460420222044566,NA,NA
"187","SYR",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"188","TCA",2018,NA,NA,NA,0.53833861225934,2.74318810702064e-05,0.46163395585959,NA,NA
"189","TCD",2018,70490887252.1448,26906629764.7272,8151660946.401,0.53833861225934,0.0406708754042046,0.420990512336456,0.00606561006197039,0.0316965576148803
"190","TGO",2018,70975483495.3905,21504631297.1819,1080879014.73014,0.53833861225934,0.0387850308510785,0.422876356889582,-0.00704763962163776,0.00175502357283514
"191","THA",2018,3413051014207.65,1624223977637.02,26815716685.1146,0.53833861225934,0.00399950525017742,0.457661882490483,-0.00316827922476802,0.00548970495355803
"192","TJK",2018,40340110403.3091,171906416421.761,77717230.7577147,0.53833861225934,0.010359146899908,0.451302240840752,0.0570470019658344,0.0359737274349374
"193","TKM",2018,236805034763.895,197729227844.661,0,0.53833861225934,5.20387117102491e-06,0.461656183869489,NA,NA
"194","TLS",2018,NA,NA,NA,0.53833861225934,0.00133468849131242,0.460326699249348,NA,NA
"195","TON",2018,NA,NA,NA,0.53833861225934,0.000405716362184802,0.461255671378475,NA,NA
"196","TTO",2018,113492377172.155,31250654981.0084,323581642.746721,0.53833861225934,0.000687089573390299,0.46097429816727,-0.0161454009010817,0.0124619225769988
"197","TUN",2018,192994983444.355,145140380583.014,875974400.434659,0.53833861225934,0.00214177769514106,0.459519610045519,-0.00650793919986137,0.0194692362854076
"198","TUR",2018,922954693879.347,2581570693749.85,11984093840.2163,0.53833861225934,0.000950094866601882,0.460711292874058,0.0268802568264154,0.00550586443249006
"199","TUV",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"200","TZA",2018,527398253321.936,186632495195.926,44052134456.3518,0.53833861225934,0.0236423369171103,0.43801905082355,-0.00699625214312528,0.0027770143222993
"201","UGA",2018,324594045277.178,77899945514.5706,2646463834.2825,0.53833861225934,0.0791046346090178,0.382556753131642,-0.00519247409951218,0.0102461394956654
"202","UKR",2018,746477445612.459,1452254336729.52,10536930812.7939,0.53833861225934,0.00357219230785758,0.458089195432803,0.0115017513747863,0.0188209940563433
"203","URY",2018,464406561998.878,254392373339.558,8635224849.47577,0.53833861225934,0.0212237370030702,0.44043765073759,-0.0045597679283206,0.0047706039080005
"204","USA",2018,203023082991749,86222695439378.1,189055817360.19,0.53833861225934,0.000345484247853956,0.461315903492806,0.010894406095274,0.00278148964933209
"205","UZB",2018,NA,NA,NA,0.53833861225934,1.68102307852311e-05,0.461644577509875,NA,NA
"206","VCT",2018,NA,NA,NA,0.53833861225934,0.000225707287092419,0.461435680453568,NA,NA
"207","VEN",2018,4969522861080.12,770514571949.422,5204331568.81769,0.53833861225934,0,0.46166138774066,-0.00444558619948131,0.00414353499629296
"208","VGB",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"209","VIR",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
